id,match_id,team,player1,elapsed,elapsed_plus,pos_x,pos_y,subtype
378506,1733,10252,26165,6,,,,header
378631,1733,8456,47413,20,,,,shot
378673,1733,10252,23782,26,,,,shot
378700,1733,10252,23264,31,,,,shot
378707,1733,8456,40198,31,,,,distance
378747,1733,8456,107216,39,,,,volley
378883,1733,8456,33633,52,,,,distance
378937,1733,10252,23354,59,,,,deflected
379280,1733,8456,46403,90,4,,,header
376105,1734,8655,30646,7,,,,header
376209,1734,8655,30646,13,,,,header
376301,1734,8668,30857,19,,,,distance
376313,1734,8655,23922,20,,,,distance
376553,1734,8655,23916,34,,,,header
376672,1734,8668,24011,41,,,,direct_freekick
376776,1734,8668,109058,45,1,,,deflected
376924,1734,8668,24160,48,,,,header
376985,1734,8655,23922,51,,,,header
377194,1734,8668,23268,62,,,,header
377206,1734,8668,24160,63,,,,shot
377401,1734,8655,19020,76,,,,header
377584,1734,8668,148790,89,,,,header
377596,1734,8655,23922,90,,,,deflected
377667,1734,8655,23921,90,5,,,post
376082,1735,8586,23760,5,,,,deflected
376155,1735,8586,41157,9,,,,volley
376247,1735,8586,23760,15,,,,distance
376297,1735,8549,35608,18,,,,deflected
376395,1735,8549,97932,24,,,,distance
376564,1735,8549,35608,34,,,,shot
377111,1735,8549,97932,58,,,,distance
377302,1735,8586,24531,69,,,,deflected
377344,1735,8549,35608,71,,,,crossbar
377449,1735,8586,23949,79,,,,distance
376104,1736,10194,23288,6,,,,header
376154,1736,10194,23288,9,,,,header
376224,1736,8559,24372,14,,,,header
376306,1736,8559,34261,19,,,,shot
376442,1736,10194,23288,27,,,,shot
376641,1736,8559,35532,38,,,,distance
376834,1736,10194,23253,30,,,,distance
376967,1736,8559,34261,49,,,,shot
376981,1736,8559,24372,50,,,,deflected
377355,1736,10194,34214,71,,,,header
377525,1736,10194,25668,77,,,,shot
377541,1736,8559,24372,85,,,,direct_freekick
377574,1736,8559,35532,87,,,,distance
376174,1737,9879,34248,10,,,,crossbar
376291,1737,9879,37266,18,,,,volley
376315,1737,9879,24020,19,,,,volley
376339,1737,9879,24737,21,,,,shot
376701,1737,8667,23023,42,,,,crossbar
376771,1737,8667,23025,45,,,,header
376935,1737,9879,24737,48,,,,shot
377011,1737,8667,34275,52,,,,crossbar
377133,1737,8667,39073,58,,,,shot
377375,1737,8667,30595,74,,,,crossbar
377623,1737,9879,24737,90,1,,,crossbar
378192,1738,8455,37804,11,,,,distance
378222,1738,8455,30699,19,,,,distance
378227,1738,8462,25517,20,,,,volley
378252,1738,8462,26108,30,,,,distance
378254,1738,8455,37804,30,,,,shot
378355,1738,8455,37804,46,,,,distance
378384,1738,8455,37804,52,,,,distance
378387,1738,8455,30630,53,,,,shot
378417,1738,8455,32345,57,,,,distance
378430,1738,8455,30686,60,,,,deflected
378454,1738,8462,38820,65,,,,deflected
378466,1738,8455,32345,71,,,,distance
378489,1738,8455,30686,74,,,,deflected
378521,1738,8462,30348,78,,,,shot
378566,1738,8462,25517,82,,,,distance
463662,1739,10260,27430,2,,,,deflected
463719,1739,10260,40945,5,,,,shot
463960,1739,10260,40945,16,,,,shot
464380,1739,10260,40961,34,,,,distance
465073,1739,10260,38817,54,,,,shot
465205,1739,10260,40945,60,,,,shot
465282,1739,8654,33781,64,,,,direct_freekick
465434,1739,10260,40961,71,,,,distance
465452,1739,8654,33781,72,,,,distance
465570,1739,10260,30829,78,,,,distance
465702,1739,8654,33781,90,,,,volley
463637,1740,8586,31921,3,,,,shot
463823,1740,9825,31013,12,,,,shot
463893,1740,9825,30843,15,,,,direct_freekick
463911,1740,9825,30843,16,,,,shot
464009,1740,9825,30843,20,,,,shot
464047,1740,9825,38835,22,,,,shot
