id,match_id,team,player1,elapsed,elapsed_plus,subtype,card_type
510361,1791,8586,40006,32,,serious_fouls,y
510682,1791,8668,36012,51,,,y
510895,1791,8668,39618,64,,shirt_pull,y
511093,1791,8668,30876,77,,verbal_abuse,y
506886,1792,9879,30956,3,,serious_fouls,y
508137,1792,9879,37266,84,,serious_fouls,y
507929,1793,8549,35544,68,,serious_fouls,y
508120,1793,10261,26209,81,,,y
509581,1794,10260,38994,21,,kicked_ball_away,y
509640,1794,10260,24148,33,,serious_fouls,y
509693,1794,8456,24213,41,,kicked_ball_away,y
509741,1794,8456,30340,45,1,serious_fouls,y
509927,1794,10260,30893,59,,serious_fouls,y
509945,1794,10260,32569,66,,,y
509952,1794,10260,30893,68,,hands,y2
510148,1794,10260,34944,85,,serious_fouls,y
510494,1795,8655,37764,42,,serious_fouls,y
507498,1796,8667,23605,45,1,,y
507505,1796,10194,40574,45,2,,y
508051,1796,8667,23021,72,,,y
508177,1796,10194,24133,83,,serious_fouls,y
508269,1796,8667,26066,88,,,y
507584,1797,8659,27267,48,,stall_time,y
508164,1797,8659,24664,86,,verbal_abuse,y
511694,1798,8455,30627,61,,serious_fouls,y
511957,1798,8455,31306,85,,serious_fouls,y
517592,1799,10260,30829,90,2,serious_fouls,y
515574,1800,8528,97988,26,,serious_fouls,y
516268,1800,8528,111865,63,,serious_fouls,y
516545,1800,9825,30843,83,,serious_fouls,y
521913,1801,8654,30966,78,,serious_fouls,y
521946,1801,8654,37169,90,1,serious_fouls,y
519993,1802,10252,30357,31,,serious_fouls,y
520213,1802,8668,39618,45,1,serious_fouls,y
520788,1802,8668,33086,90,4,,y
516562,1803,10194,40574,84,,serious_fouls,y
515506,1804,8650,30915,19,,hands,y
515820,1804,8655,38711,43,,serious_fouls,y
516145,1804,8650,37442,59,,serious_fouls,y
516175,1804,8655,24136,60,,serious_fouls,y
515080,1805,9879,37266,61,,serious_fouls,y
515109,1805,8456,24213,74,,serious_fouls,y
515178,1805,9879,24843,90,1,serious_fouls,y
515497,1806,8559,23934,18,,serious_fouls,y
516301,1806,8559,24336,65,,shirt_pull,y
516543,1806,8455,30699,82,,serious_fouls,y
519524,1807,8462,25517,42,,,y
519834,1807,8659,26527,60,,,y
520271,1807,8462,34036,90,4,serious_fouls,y
516160,1808,8667,23023,57,,serious_fouls,y
516455,1808,8549,42183,75,,serious_fouls,y
516608,1808,8549,24166,84,,serious_fouls,r
526851,1809,8667,40132,25,,emergency_brake,y
527227,1809,8667,30595,45,3,serious_fouls,y
527350,1809,8667,34437,47,,serious_fouls,y
527945,1809,8650,46621,83,,serious_fouls,y
528032,1809,8650,24134,88,,serious_fouls,y
528090,1809,8650,30889,90,3,emergency_brake,y
527331,1810,8659,36373,47,,verbal_abuse,y
527473,1810,8659,24728,55,,serious_fouls,y
527754,1810,8472,24740,73,,verbal_abuse,y
528454,1811,8586,24656,56,,serious_fouls,y
528479,1811,10260,38994,62,,serious_fouls,y
526883,1812,8559,24336,28,,serious_fouls,y
526149,1813,9825,27277,47,,serious_fouls,y
528040,1814,8668,39618,90,,serious_fouls,y
529602,1815,8462,24216,38,,serious_fouls,y
529848,1815,10261,33852,70,,shirt_pull,y
529887,1815,8462,36286,78,,,y
529937,1815,8462,24653,85,,serious_fouls,y
529956,1815,8462,30348,88,,kicked_ball_away,y
526637,1816,10194,38755,11,,serious_fouls,y
527171,1816,9879,24737,44,,hands,y
527618,1817,8528,24528,64,,violence,y
527908,1817,8655,23921,81,,serious_fouls,y
530335,1818,8455,32345,21,,serious_fouls,y
530417,1818,8455,30699,33,,verbal_abuse,y
530439,1818,8455,38834,37,,serious_fouls,y
530451,1818,8654,34543,40,,,y
530491,1818,8654,33781,45,1,serious_fouls,y
551678,1819,8528,24230,49,,serious_fouls,y
551706,1819,8528,25005,52,,serious_fouls,y
551723,1819,8528,127857,52,,,y
537026,1820,8650,24635,20,,serious_fouls,y
537149,1820,9825,30960,38,,serious_fouls,y
537368,1820,9825,30960,62,,serious_fouls,y2
537394,1820,9825,30843,66,,serious_fouls,y
537427,1820,9825,26111,70,,serious_fouls,y
537453,1820,8650,30617,72,,shirt_pull,y
537518,1820,8650,95327,81,,serious_fouls,y
534842,1821,8654,30687,67,,serious_fouls,y
534865,1821,10252,38807,72,,serious_fouls,y
534967,1821,8654,33781,80,,verbal_abuse,y
538311,1822,8455,30627,35,,serious_fouls,r
538318,1822,8455,30631,42,,verbal_abuse,y
538328,1822,8455,38834,42,,verbal_abuse,y
538387,1822,8455,30699,67,,verbal_abuse,y
536533,1823,10261,37475,10,,serious_fouls,y
537013,1823,8586,24656,62,,diving,y
537179,1823,8586,31097,87,,serious_fouls,y
537191,1823,10261,33852,89,,serious_fouls,y
537238,1823,10261,34574,90,1,,y
533872,1824,10194,35636,33,,serious_fouls,y
534008,1824,10194,23072,45,4,serious_fouls,y
534011,1825,8549,35544,37,,serious_fouls,y
534137,1825,8549,24162,52,,hands,y
534013,1826,8462,30348,43,,serious_fouls,y
534211,1826,8559,26454,67,,verbal_abuse,y
536353,1827,8659,24728,51,,serious_fouls,y
536611,1827,8456,24211,89,,shirt_pull,y
536719,1827,8659,32570,90,3,,y
533739,1828,8667,30595,16,,shirt_pull,y
534235,1828,8472,30352,71,,,y
534274,1828,8667,34430,76,,serious_fouls,y
534356,1828,8667,23352,86,,,y
534448,1828,8667,34430,81,,serious_fouls,y2
539843,1829,8559,23933,44,,serious_fouls,y
539905,1829,8559,26454,46,,serious_fouls,y
540003,1829,8650,25984,56,,serious_fouls,y
540256,1829,8559,23784,80,,serious_fouls,y
539628,1830,8655,37764,23,,serious_fouls,y
539720,1830,8655,34947,31,,serious_fouls,y
539952,1830,8655,19020,47,,hands,y
539255,1831,9879,24781,79,,serious_fouls,y
540537,1832,9825,23678,24,,serious_fouls,y
540569,1832,9825,30831,36,,serious_fouls,y
540605,1832,9825,27277,51,,,y
540663,1832,10252,23264,72,,,y
540674,1832,9825,30843,77,,serious_fouls,y
540675,1832,10252,24780,77,,,y
540692,1832,10252,38609,82,,verbal_abuse,y
540726,1832,10252,23782,90,4,serious_fouls,y
539684,1833,8668,39618,29,,serious_fouls,y
539846,1833,8549,35544,45,,shirt_pull,y
540113,1833,8549,24163,65,,,y
540176,1833,8549,24159,72,,diving,y
540366,1833,8549,24161,88,,pushing,y
540387,1833,8549,24162,90,,pushing,y
539874,1834,8667,39073,45,1,serious_fouls,y
540191,1834,8667,23034,72,,,y
540219,1834,8667,26066,72,,serious_fouls,y
540237,1834,8667,32577,75,,,y
538871,1835,8462,47418,44,,serious_fouls,y
538906,1835,8654,37169,45,2,,y
539149,1835,8654,30966,65,,shirt_pull,y
539305,1835,8654,24223,86,,serious_fouls,y
538554,1836,10194,23072,21,,serious_fouls,y
538593,1836,10260,43248,26,,serious_fouls,y
538604,1836,10194,23369,28,,serious_fouls,y
538742,1836,10194,38755,43,,verbal_abuse,y
539067,1836,10194,23369,72,,serious_fouls,y2
539200,1836,10260,30615,87,,violence,y
539203,1836,10194,23253,87,,serious_fouls,y
539747,1837,8528,25150,34,,,y
539863,1837,8528,97988,44,,verbal_abuse,y
540222,1837,10261,26209,72,,shirt_pull,r
540241,1837,10261,30360,74,,,y
540245,1837,10261,34574,75,,verbal_abuse,y
540474,1837,10261,47382,90,6,diving,y
539212,1838,8455,30699,74,,violence,y
382236,1839,8650,37442,26,,serious_fouls,y
383316,1839,8650,24635,79,,verbal_abuse,y
383320,1839,8549,38491,79,,stall_time,y
382244,1840,8586,31921,26,,diving,y
382910,1840,8472,38802,59,,serious_fouls,y
382953,1840,8472,30352,57,,,y
382262,1841,8559,23931,28,,serious_fouls,y
382452,1841,8559,23784,39,,serious_fouls,y
383044,1841,10261,24228,62,,hands,y
384550,1842,8654,30966,24,,serious_fouls,y
384613,1842,8654,37169,34,,hands,y
384633,1842,8654,37169,38,,,y2
382550,1843,8667,23023,44,,serious_fouls,y
383869,1844,9879,30338,72,,serious_fouls,y
383913,1844,9879,31114,88,,serious_fouls,y
382444,1845,8668,24006,38,,serious_fouls,y
382602,1845,8659,37280,45,2,serious_fouls,y
382607,1845,8659,31731,45,2,verbal_abuse,y
383106,1845,8659,23257,67,,serious_fouls,y
385642,1846,8462,25517,18,,serious_fouls,y
385717,1846,10260,30362,45,,serious_fouls,y
385805,1846,8462,30348,81,,,y
385833,1846,10260,24148,90,3,verbal_abuse,y
382912,1847,10194,23288,57,,serious_fouls,y
383972,1848,8455,30627,14,,shirt_pull,y
384170,1848,8528,25150,49,,serious_fouls,y
384265,1848,8455,30911,74,,serious_fouls,y
542962,1849,10260,30802,53,,serious_fouls,y
543066,1849,10260,30373,89,,serious_fouls,y
541737,1850,8462,24373,42,,serious_fouls,y
541444,1851,8654,34543,23,,serious_fouls,y
541556,1851,8654,30734,31,,serious_fouls,y
541611,1851,8654,27665,35,,serious_fouls,y
541777,1851,10194,23333,45,1,serious_fouls,y
541951,1851,10194,38755,53,,violence,r
542123,1851,10194,35467,65,,stall_time,y
542232,1851,10194,40005,73,,verbal_abuse,y
541519,1852,8472,38802,26,,serious_fouls,y
541948,1852,8472,36786,53,,serious_fouls,y
542134,1852,8668,23268,67,,,y
542206,1852,8472,24655,72,,,y
542231,1852,8472,24411,73,,verbal_abuse,y
541078,1853,8650,38818,59,,serious_fouls,y
541103,1853,10261,24228,75,,serious_fouls,y
541136,1853,10261,24224,90,,kicked_ball_away,y
542622,1854,8655,23913,33,,serious_fouls,y
542686,1854,8456,24213,53,,serious_fouls,y
542785,1854,8655,23921,90,1,stall_time,y
542323,1855,8455,30822,82,,hands,y
542481,1855,8455,25925,90,3,verbal_abuse,y
542795,1855,9879,30956,90,,,y
541256,1856,8559,23933,6,,serious_fouls,y
541424,1856,8528,24890,19,,verbal_abuse,y
541555,1856,8559,26454,28,,serious_fouls,y
541579,1856,8528,97988,29,,serious_fouls,y
542351,1856,8528,25150,80,,serious_fouls,y
541317,1857,8586,24531,14,,serious_fouls,y
541506,1857,8659,24171,28,,serious_fouls,y
541608,1857,8586,40006,35,,serious_fouls,r
541755,1857,8659,23257,45,,serious_fouls,y
542051,1857,8659,31731,59,,serious_fouls,y
542430,1857,8586,30818,88,,serious_fouls,y
543135,1858,8667,26066,26,,serious_fouls,y
543190,1858,10252,23782,50,,serious_fouls,y
543216,1858,10252,38609,60,,verbal_abuse,y
549534,1859,8455,30631,4,,serious_fouls,y
549650,1859,8455,25925,27,,serious_fouls,y
549657,1859,10260,30893,28,,,y
549658,1859,8455,30911,28,,,y
549892,1859,10260,30829,66,,serious_fouls,y
549906,1859,10260,30802,68,,,y
549981,1859,8455,30627,81,,serious_fouls,y
550015,1859,8455,30456,87,,,y
547202,1860,8559,37996,54,,serious_fouls,y
547393,1860,8559,23784,74,,verbal_abuse,y
547451,1860,9825,30986,80,,serious_fouls,y
547573,1860,9825,75489,90,2,serious_fouls,y
546655,1861,10252,43280,74,,serious_fouls,y
546695,1861,8659,32570,90,1,verbal_abuse,y
547039,1862,8667,32577,38,,serious_fouls,y
547135,1862,8668,39618,47,,serious_fouls,y
547204,1862,8667,26066,55,,serious_fouls,y
547228,1862,8668,30876,58,,serious_fouls,y
547272,1862,8667,34430,63,,shirt_pull,y
547427,1862,8667,26143,79,,serious_fouls,y
547583,1862,8667,23034,90,4,serious_fouls,y
546775,1863,8472,38802,8,,serious_fouls,y
547203,1863,8472,30352,55,,serious_fouls,y
547216,1863,8472,24446,57,,serious_fouls,y
547459,1863,8472,30988,83,,,y
546896,1864,10261,40565,23,,serious_fouls,y
609478,1865,8655,23927,45,2,,y
609653,1865,9879,30338,52,,shirt_pull,y
579284,1866,8456,30598,19,,serious_fouls,y
579691,1866,8456,24213,79,,serious_fouls,y
579719,1866,8456,33781,85,,violence,y
579720,1866,8462,23953,85,,violence,y
547927,1867,8650,30618,64,,,y
547934,1867,10194,24773,66,,serious_fouls,y
547988,1867,8650,95327,77,,serious_fouls,y
547990,1867,10194,23369,83,,serious_fouls,y
548825,1868,8586,31921,33,,serious_fouls,y
549140,1868,8528,35327,65,,,y
549147,1868,8528,97988,69,,serious_fouls,y
549160,1868,8586,34182,72,,serious_fouls,y
549170,1868,8586,38697,75,,serious_fouls,y
549195,1868,8528,25005,81,,serious_fouls,y
556565,1869,8668,36012,27,,serious_fouls,y
556617,1869,8668,24011,51,,serious_fouls,y
552263,1870,10252,30357,18,,serious_fouls,y
552637,1870,8472,24446,44,,serious_fouls,y
552800,1870,8472,33418,53,,serious_fouls,y
553133,1870,10252,23264,72,,verbal_abuse,y
553211,1870,8472,24527,80,,verbal_abuse,y
553261,1870,8472,24655,85,,serious_fouls,y
555377,1871,8462,24653,27,,serious_fouls,y
555683,1871,8462,26108,74,,serious_fouls,y
554667,1872,9879,37266,45,1,serious_fouls,y
554800,1872,9879,24020,52,,,y
554810,1872,8654,30966,53,,serious_fouls,y
554850,1872,9879,24781,58,,serious_fouls,y
552464,1873,8528,25150,34,,serious_fouls,y
552569,1873,8528,24230,41,,serious_fouls,y
552796,1873,8456,24211,54,,violence,r
553044,1873,8456,33974,70,,,y
553246,1873,8528,97988,86,,serious_fouls,y
553409,1873,8528,34421,90,5,,y
552900,1874,10261,24234,61,,serious_fouls,y
553097,1874,10261,30360,73,,serious_fouls,y
553196,1874,8655,30849,82,,serious_fouls,y
553203,1874,10261,30360,83,,serious_fouls,y2
553224,1874,8655,34176,83,,,y
553335,1874,10261,24205,89,,,y
552293,1875,8559,37496,22,,,y
553083,1875,10260,24150,74,,,y
552409,1876,8549,97932,28,,,y
553014,1876,8549,38899,63,,verbal_abuse,y
553401,1876,8549,33128,62,,violence,r
553721,1877,9825,31291,71,,verbal_abuse,y
553768,1877,8667,23023,81,,serious_fouls,y
552240,1878,10194,35636,15,,serious_fouls,y
553336,1878,10194,23288,89,,serious_fouls,y
553344,1878,10194,23253,90,,serious_fouls,y
562942,1880,8586,23760,38,,serious_fouls,y
562955,1880,10194,35467,40,,serious_fouls,y
563150,1880,8586,38697,51,,serious_fouls,y
563255,1880,10194,23072,63,,serious_fouls,y
563301,1880,10194,23253,69,,serious_fouls,y
564478,1881,8667,34437,36,,serious_fouls,y
563069,1882,8659,24728,40,,serious_fouls,r
563088,1882,8659,40055,44,,serious_fouls,y
563391,1882,10260,30802,61,,serious_fouls,y
563460,1882,8659,32570,71,,,y
563472,1882,8659,36373,74,,verbal_abuse,y
563480,1882,8659,42594,74,,verbal_abuse,y
563551,1882,8659,24171,90,,verbal_abuse,y
563556,1882,10260,34944,90,2,serious_fouls,y
563014,1883,8462,40987,44,,serious_fouls,y
563167,1883,8462,34036,50,,serious_fouls,y
563338,1883,8462,40987,71,,verbal_abuse,y2
563428,1883,10252,38609,80,,serious_fouls,y
563471,1883,10252,38807,87,,serious_fouls,y
564702,1884,8528,111865,51,,serious_fouls,y
564341,1885,9825,27277,27,,serious_fouls,y
564471,1885,9825,26181,36,,,y
565271,1885,8668,24011,70,,serious_fouls,y
565373,1885,8668,24023,77,,serious_fouls,y
564349,1886,8456,30367,43,,serious_fouls,y
564667,1886,10261,24228,48,,serious_fouls,y
564918,1886,10261,33852,66,,serious_fouls,y
564541,1887,8655,30842,42,,serious_fouls,y
565121,1887,8559,26454,61,,serious_fouls,y
565276,1887,8559,23932,70,,serious_fouls,y
565370,1887,8655,30849,76,,verbal_abuse,y
565397,1887,8559,155384,78,,serious_fouls,y
565528,1887,8559,26244,90,2,serious_fouls,y
565550,1887,8655,34176,76,,,y
563754,1888,8549,97932,9,,serious_fouls,y
564762,1888,8549,24163,56,,serious_fouls,y
566477,1890,9825,27277,23,,serious_fouls,y
567134,1890,8654,24751,56,,kicked_ball_away,y
567477,1890,9825,75342,75,,diving,y
567620,1890,8654,30687,85,,serious_fouls,y
570002,1891,8650,38818,20,,serious_fouls,y
