id,match_id,team,player1,player2,elapsed,elapsed_plus,event_incident_typefk,goal,goal_type,pos_x,pos_y,subtype
511676,1798,9825,30843,39297,59,,393,,n,,,shot
511707,1798,9825,30843,30960,62,,393,,n,,,shot
517584,1799,10260,30865,,90,1,80,,n,,,shot
515461,1800,9825,30960,23678,16,,393,,n,,,shot
521882,1801,8586,30354,30895,68,,406,,n,,,header
521942,1801,8586,25421,46403,90,,393,,n,,,shot
519636,1802,10252,23283,38807,1,,407,,n,,,distance
519982,1802,8668,33086,24006,30,,393,,n,,,shot
520414,1802,10252,23354,,54,,80,,n,,,shot
520786,1802,8668,33086,30876,90,3,390,,n,,,bicycle_kick
520791,1802,10252,23354,23264,90,4,393,,n,,,shot
515383,1803,10261,30619,33852,8,,393,,n,,,shot
515570,1803,10261,30619,37799,24,,393,,n,,,shot
516225,1803,10194,23314,38755,60,,393,,n,,,shot
516653,1803,10194,40005,23253,90,1,393,,n,,,shot
516316,1804,8650,30889,,69,,71,,n,,,
516482,1804,8650,24800,37139,79,,393,,n,,,shot
516551,1804,8655,30646,37764,85,,406,,n,,,header
516667,1804,8650,30618,37920,90,5,407,,n,,,distance
514959,1805,8456,25342,30509,6,,406,,n,,,header
514999,1805,9879,24843,24741,27,,393,,n,,,shot
515390,1806,8455,37804,25925,9,,406,,n,,,header
515534,1806,8455,30686,30699,21,,390,,n,,,bicycle_kick
519492,1807,8659,24664,,39,,131,,n,,,loose_ball
519795,1807,8462,30830,24653,58,,407,,n,,,distance
516509,1808,8549,42183,33754,79,,393,,n,,,shot
516529,1808,8549,22978,,82,,115,,o,,,
516571,1808,8667,23352,,85,,20,,p,,,
526644,1809,8667,40132,23352,12,,406,,n,,,header
526804,1809,8650,30617,,22,,115,,o,,,
526841,1809,8650,30618,37139,24,,393,,n,,,shot
526956,1809,8650,30618,24800,32,,393,,n,,,shot
526805,1810,8472,30988,17866,22,,406,,n,,,header
526830,1810,8472,30988,,24,,131,,n,,,loose_ball
527071,1810,8472,17866,38802,40,,406,,n,,,header
527336,1810,8472,33418,,47,,20,,p,,,
528443,1811,10260,30893,,54,,298,,dg,,,shot
526708,1812,8559,34261,23934,17,,395,,n,,,
526848,1812,10252,23264,43280,25,,393,,n,,,shot
527075,1812,8559,23934,,40,,115,,o,,,
527657,1812,10252,23264,23354,67,,406,,n,,,header
527847,1812,10252,23354,23264,78,,393,,n,,,shot
527957,1812,8559,23934,26454,86,,406,,n,,,header
525965,1813,9825,30960,30613,17,,406,,n,,,header
526021,1813,8549,24753,42183,29,,406,,n,,,header
528068,1814,8668,30876,24006,90,2,406,,n,,,header
529766,1815,10261,30619,33852,52,,393,,n,,,shot
529875,1815,10261,37799,37475,77,,393,,n,,,shot
529965,1815,10261,40565,24225,89,,393,,n,,,shot
526631,1817,8528,34466,35327,10,,393,,n,,,shot
526652,1817,8528,35327,34987,12,,393,,n,,,shot
527852,1817,8528,25150,35327,77,,393,,n,,,shot
530412,1818,8654,33781,37169,33,,393,,n,,,shot
530541,1818,8455,37804,30631,51,,393,,n,,,shot
551304,1819,10260,30829,30893,1,,393,,n,,,shot
537057,1820,9825,30843,26181,24,,393,,n,,,shot
537174,1820,8650,24635,25984,42,,411,,n,,,volley
534892,1821,8654,30687,,78,,115,,o,,,
538430,1822,8668,36012,,84,,304,,dg,,,loose_ball
536546,1823,10261,29581,24224,12,,393,,n,,,shot
536706,1823,8586,31097,,29,,80,,n,,,shot
537204,1823,10261,34574,30623,90,,393,,n,,,shot
533678,1824,8655,34947,,9,,20,,p,,,
533744,1824,8655,34176,,18,,131,,n,,,loose_ball
533827,1824,8655,34947,34176,27,,391,,n,,,loose_ball
533947,1825,9879,24843,24741,41,,391,,n,,,loose_ball
534100,1825,9879,30338,,54,,20,,p,,,
534148,1825,9879,30956,30338,59,,393,,n,,,shot
533619,1826,8559,24372,24336,1,,393,,n,,,shot
533638,1826,8559,23937,24372,3,,393,,n,,,shot
533762,1826,8462,30830,38820,20,,406,,n,,,header
536437,1827,8659,23788,24171,69,,393,,n,,,shot
536483,1827,8659,41073,,77,,346,,dg,,,
536567,1827,8659,36373,,84,,115,,o,,,
536643,1827,8659,32570,31731,90,3,406,,n,,,header
533696,1828,8472,38802,24408,10,,407,,n,,,distance
533761,1828,8667,23025,,19,,80,,n,,,shot
534247,1828,8667,26143,,73,,298,,dg,,,shot
534294,1828,8667,26066,,78,,115,,o,,,
534347,1828,8472,30988,38802,84,,406,,n,,,header
534406,1828,8472,33418,30954,90,1,393,,n,,,shot
539657,1829,8650,37920,30618,26,,393,,n,,,shot
539960,1829,8650,24635,30618,53,,393,,n,,,shot
540010,1829,8650,24635,24800,58,,393,,n,,,shot
539948,1830,8655,30342,,47,,346,,dg,,,
540576,1832,9825,39297,,40,,80,,n,,,shot
540603,1832,9825,27277,30935,49,,393,,n,,,shot
540641,1832,10252,23782,,64,,20,,p,,,
540721,1832,10252,40128,23354,90,1,393,,n,,,shot
539458,1833,8668,36012,,10,,298,,dg,,,shot
539944,1833,8668,30876,,51,,131,,n,,,loose_ball
539529,1834,8456,41622,24213,15,,393,,n,,,shot
539677,1834,8456,41622,24213,27,,393,,n,,,shot
539690,1834,8456,33974,24213,28,,393,,n,,,shot
539760,1834,8456,33974,30367,36,,393,,n,,,shot
540286,1834,8667,23034,,80,,131,,n,,,loose_ball
540294,1834,8456,24213,33974,82,,393,,n,,,shot
538564,1835,8462,40987,30830,8,,393,,n,,,shot
538655,1835,8654,109898,34543,20,,393,,n,,,shot
538898,1835,8462,30348,,45,2,181,,psm,,,
539163,1835,8654,34543,30966,67,,393,,n,,,shot
539187,1835,8654,33781,,70,,80,,n,,,shot
539288,1835,8654,33781,30734,83,,393,,n,,,shot
539170,1836,10260,38817,27430,83,,393,,n,,,shot
539703,1837,8528,24890,,29,,130,,n,,,direct_freekick
540227,1837,8528,127857,,73,,20,,p,,,
540401,1837,10261,40565,,88,,20,,p,,,
538534,1838,8455,30822,30630,3,,406,,n,,,header
538904,1838,8455,30631,38834,45,2,393,,n,,,shot
383158,1839,8549,38491,24753,70,,407,,n,,,distance
383417,1839,8549,24167,,85,,115,,o,,,
383558,1839,8650,30618,24635,90,5,407,,n,,,distance
382873,1840,8472,30352,,56,,80,,n,,,shot
383209,1840,8586,30818,31097,74,,391,,n,,,loose_ball
383352,1840,8472,33418,24410,83,,406,,n,,,header
383230,1841,10261,30619,23983,72,,406,,n,,,header
384884,1842,8456,51553,,65,,80,,n,,,shot
384913,1842,8456,40198,24213,71,,393,,n,,,shot
384941,1842,8456,40198,24213,76,,393,,n,,,shot
382458,1843,8655,34176,23922,39,,393,,n,,,shot
382486,1843,8667,23438,23034,40,,406,,n,,,header
383724,1844,9879,26777,24843,21,,411,,n,,,volley
383057,1845,8668,109058,,64,,299,,dg,,,header
383077,1845,8668,24006,24011,65,,393,,n,,,shot
383288,1845,8668,24160,33086,76,,406,,n,,,header
383474,1845,8659,32570,,89,,20,,p,,,
385689,1846,10260,24148,32569,33,,393,,n,,,shot
382318,1847,10194,24435,,29,,20,,p,,,
383048,1847,10252,26165,23354,63,,393,,n,,,shot
383370,1847,10194,38755,24435,81,,393,,n,,,shot
383408,1847,10252,43280,26165,84,,393,,n,,,shot
383562,1847,10194,23314,25668,90,5,406,,n,,,header
383945,1848,8455,30686,,4,,130,,n,,,direct_freekick
543015,1849,10260,27430,,69,,131,,n,,,loose_ball
542310,1850,9825,38835,39297,81,,406,,n,,,header
541190,1851,10194,40005,33941,4,,406,,n,,,header
541928,1851,8654,34543,24223,51,,393,,n,,,shot
542433,1851,8654,40611,34543,87,,393,,n,,,shot
541311,1852,8668,24011,,10,,130,,n,,,direct_freekick
541534,1852,8668,24011,,27,,288,,n,,,deflected
542358,1852,8668,46810,33086,83,,393,,n,,,shot
541033,1853,8650,30618,24800,31,,393,,n,,,shot
541036,1853,10261,30619,,34,,298,,dg,,,shot
541042,1853,8650,24134,30618,36,,406,,n,,,header
541057,1853,10261,24234,40565,45,1,406,,n,,,header
541066,1853,8650,30915,,50,,80,,n,,,shot
541088,1853,8650,30618,95327,66,,393,,n,,,shot
541106,1853,8650,30889,,75,,20,,p,,,
541111,1853,8650,41175,,79,,298,,dg,,,shot
542660,1854,8655,34947,34176,45,1,393,,n,,,shot
542766,1854,8655,34176,19020,84,,406,,n,,,header
542779,1854,8456,51553,,88,,6,,n,,,volley
542791,1854,8456,33974,51553,90,4,393,,n,,,shot
541290,1855,9879,30956,24020,10,,393,,n,,,shot
541877,1855,8455,30631,,50,,80,,n,,,shot
542199,1855,8455,30631,,72,,130,,n,,,direct_freekick
542426,1855,9879,30956,30338,89,,406,,n,,,header
541802,1856,8528,127857,,44,,20,,p,,,
542379,1857,8659,32570,25922,83,,406,,n,,,header
542530,1857,8659,41073,24171,90,4,393,,n,,,shot
543288,1858,8667,26066,,88,,115,,o,,,
549758,1859,10260,30865,27430,45,2,406,,n,,,header
549874,1859,10260,30829,32569,63,,411,,n,,,volley
550023,1859,10260,27430,30893,87,,411,,n,,,volley
547484,1860,9825,36410,30843,84,,393,,n,,,shot
546485,1861,10252,24658,23782,19,,406,,n,,,header
546546,1861,8659,36373,,41,,115,,o,,,
546584,1861,8659,24171,32570,49,,414,,n,,,deflected
546859,1862,8668,39618,24846,18,,406,,n,,,header
547095,1862,8668,24011,,45,1,130,,n,,,direct_freekick
547093,1863,8549,35608,30892,45,,393,,n,,,shot
547447,1863,8472,30988,43279,82,,393,,n,,,shot
546862,1864,10261,30619,37475,19,,407,,n,,,distance
546952,1864,8654,33781,24223,29,,393,,n,,,shot
547205,1864,8654,34543,26348,55,,393,,n,,,shot
547423,1864,10261,47382,34574,78,,406,,n,,,header
609028,1865,9879,30956,30338,2,,393,,n,,,shot
609896,1865,8655,23927,19020,69,,393,,n,,,shot
610021,1865,8655,34176,23916,85,,393,,n,,,shot
579660,1866,8462,34036,,70,,80,,n,,,shot
579675,1866,8462,23953,34601,75,,406,,n,,,header
547766,1867,10194,40695,,31,,299,,dg,,,header
549272,1868,8528,111865,24890,90,1,406,,n,,,header
556659,1869,8650,30618,37920,68,,407,,n,,,distance
556684,1869,8668,30876,24011,87,,406,,n,,,header
552166,1870,8472,24408,30954,11,,406,,n,,,header
552905,1870,10252,38807,23354,60,,406,,n,,,header
553193,1870,10252,23782,,80,,20,,p,,,
555594,1871,8462,23190,63520,59,,393,,n,,,shot
555650,1871,8586,30348,31097,70,,393,,n,,,shot
554500,1872,8654,27665,,7,,80,,n,,,shot
554532,1872,9879,24781,30338,22,,407,,n,,,distance
554784,1872,8654,27665,,50,,298,,dg,,,shot
554852,1872,8654,37169,,60,,20,,p,,,
554920,1872,8654,34543,27665,76,,393,,n,,,shot
552780,1873,8456,30509,,53,,39,,n,,,distance
552880,1874,8655,34947,,61,,20,,p,,,
552964,1874,8655,34176,23916,66,,393,,n,,,shot
553254,1874,8655,34176,23916,86,,393,,n,,,shot
553297,1875,10260,27430,38817,90,,406,,n,,,header
552046,1876,8659,23257,,4,,288,,n,,,deflected
552842,1876,8659,40055,26494,54,,414,,n,,,deflected
553033,1876,8659,40055,23257,67,,393,,n,,,shot
553538,1877,9825,30960,30843,29,,406,,n,,,header
553705,1877,8667,26143,32577,65,,406,,n,,,header
553778,1877,9825,26181,30843,82,,393,,n,,,shot
553798,1877,9825,36410,30843,86,,393,,n,,,shot
552931,1878,10194,25668,24001,60,,393,,n,,,shot
553325,1878,8455,30456,49825,88,,406,,n,,,header
553385,1878,8455,30631,,90,4,39,,n,,,distance
563086,1879,8472,30988,33418,55,,391,,n,,,loose_ball
562692,1880,8586,30895,30348,8,,393,,n,,,shot
562801,1880,8586,30348,40755,21,,393,,n,,,shot
562828,1880,8586,24531,31097,25,,406,,n,,,header
563200,1880,10194,24001,24773,57,,393,,n,,,shot
564268,1881,8654,37169,,22,,348,,npm,,,saved_back_into_play
564432,1881,8654,27665,34543,33,,393,,n,,,shot
564935,1881,8654,34543,27665,51,,391,,n,,,loose_ball
562951,1882,10260,27430,34944,22,,393,,n,,,shot
563093,1882,10260,38817,,44,,131,,n,,,loose_ball
563298,1882,10260,27430,,53,,298,,dg,,,shot
563381,1882,10260,30865,24154,60,,406,,n,,,header
563425,1882,10260,30893,24154,65,,393,,n,,,shot
563469,1882,10260,30893,27430,73,,393,,n,,,shot
562816,1883,10252,34466,23264,21,,393,,n,,,shot
564345,1884,8650,24800,38818,41,,393,,n,,,shot
565242,1884,8528,38491,,83,,20,,p,,,
565106,1885,8668,30876,24846,61,,406,,n,,,header
565524,1885,9825,30843,27277,90,2,393,,n,,,shot
563841,1886,8456,30367,33974,17,,393,,n,,,shot
565124,1886,8456,33781,30509,77,,393,,n,,,shot
565210,1886,10261,47382,24234,81,,393,,n,,,shot
564117,1887,8559,24372,37496,15,,393,,n,,,shot
564444,1887,8559,23934,26454,35,,393,,n,,,shot
565222,1887,8655,24136,34947,66,,393,,n,,,shot
